FlightNumber;Month;Date;BoosterVersion;PayloadMass;Payload;Orbit;LaunchSite;LandingOutcome;Flights;GridFins;Reused;Legs;LandingPad;Block;Customers;Mission_Outcome;ReusedCount;Serial;Longitude;Latitude;Class
40;o;11/10/2017;Falcon 9;5200.0;SES-11 / Echostar 105;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;SES,Echostar;True;1;B1031;-806.039.558;286.080.585;1
41;o;30/10/2017;Falcon 9;3700.0;KoreaSat 5A;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;KT Corporation;True;0;B1042;-806.039.558;286.080.585;1
42;d;15/12/2017;Falcon 9;2205.0;CRS-13;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1035;-80.577.366;285.618.571;1
43;d;23/12/2017;Falcon 9;9600.0;Iridium NEXT 4;PO;VAFB SLC 4E;True Ocean;2;True;True;False;;3.0;Iridium Communications;True;1;B1036;-120.610.829;34.632.093;1
44;e;08/01/2018;Falcon 9;6.123.547.647.058.820;ZUMA;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;Northrop Grumman;True;1;B1043;-80.577.366;285.618.571;1
45;e;31/01/2018;Falcon 9;4230.0;GovSat-1;GTO;CCSFS SLC 40;True Ocean;2;True;True;True;;3.0;GovSat;True;1;B1032;-80.577.366;285.618.571;1
46;m;06/03/2018;Falcon 9;6092.0;Hispasat 30W-6;GTO;CCSFS SLC 40;None None;1;True;False;True;;4.0;Hispasat;True;0;B1044;-80.577.366;285.618.571;0
47;m;30/03/2018;Falcon 9;9600.0;Iridium NEXT 5;PO;VAFB SLC 4E;None None;2;True;True;True;;4.0;Iridium Communications;True;1;B1041;-120.610.829;34.632.093;0
48;a;02/04/2018;Falcon 9;2760.0;CRS-14;ISS;CCSFS SLC 40;None None;2;True;True;True;;4.0;NASA (CRS);True;1;B1039;-80.577.366;285.618.571;0
49;a;18/04/2018;Falcon 9;350.0;TESS;HEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;NASA;True;1;B1045;-80.577.366;285.618.571;1
50;m;11/05/2018;Falcon 9;3750.0;Bangabandhu-1;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Bangladesh Gov;True;3;B1046;-806.039.558;286.080.585;1
51;j;04/06/2018;Falcon 9;5383.85;SES-12;GTO;CCSFS SLC 40;None None;2;False;True;False;;4.0;SES;True;1;B1040;-80.577.366;285.618.571;0
52;j;29/06/2018;Falcon 9;2410.0;CRS-15;ISS;CCSFS SLC 40;None None;2;False;True;False;;4.0;NASA (CRS);True;1;B1045;-80.577.366;285.618.571;0
53;j;22/07/2018;Falcon 9;7076.0;Telstar 19V;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Telesat;True;2;B1047;-80.577.366;285.618.571;1
54;j;25/07/2018;Falcon 9;9600.0;Iridium NEXT 7;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;Iridium Communications;True;4;B1048;-120.610.829;34.632.093;1
55;a;07/08/2018;Falcon 9;5800.0;Telkom-4;GTO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;Telkom;True;3;B1046;-80.577.366;285.618.571;1
56;s;10/09/2018;Falcon 9;7060.0;Telstar 18V;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;Telesat;True;9;B1049;-80.577.366;285.618.571;1
57;o;08/10/2018;Falcon 9;2800.0;SAOCOM 1A;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;CONAE;True;4;B1048;-120.610.829;34.632.093;1
58;n;15/11/2018;Falcon 9;3000.0;Es’hail 2;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;Es’hailSat;True;2;B1047;-806.039.558;286.080.585;1
59;d;03/12/2018;Falcon 9;4000.0;SSO-A;SSO;VAFB SLC 4E;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Spaceflight Industries, Inc;True;3;B1046;-120.610.829;34.632.093;1
60;d;05/12/2018;Falcon 9;2573.0;CRS-16;ISS;CCSFS SLC 40;False RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;0;B1050;-80.577.366;285.618.571;0
61;d;23/12/2018;Falcon 9;4400.0;GPS III SV01;MEO;CCSFS SLC 40;None None;1;False;False;False;;5.0;USAF;True;0;B1054;-80.577.366;285.618.571;0
62;e;11/01/2019;Falcon 9;9600.0;Iridium NEXT 8;PO;VAFB SLC 4E;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;Iridium Communications;True;9;B1049;-120.610.829;34.632.093;1
63;m;02/03/2019;Falcon 9;12259.0;CCtCap Demo Mission 1;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CCtCap);True;12;B1051;-806.039.558;286.080.585;1
64;m;04/05/2019;Falcon 9;2482.0;CRS-17;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;3;B1056;-80.577.366;285.618.571;1
65;m;24/05/2019;Falcon 9;13200.0;Starlink v0.9;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571;1
66;j;12/06/2019;Falcon 9;1425.0;RADARSAT Constellation;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;CSA;True;12;B1051;-120.610.829;34.632.093;1
67;j;25/07/2019;Falcon 9;2227.7;CRS-18;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;3;B1056;-80.577.366;285.618.571;1
68;a;06/08/2019;Falcon 9;6500.0;Amos-17;GTO;CCSFS SLC 40;None None;3;False;True;False;;5.0;Spacecom;True;2;B1047;-80.577.366;285.618.571;0
69;n;11/11/2019;Falcon 9;15600.0;Starlink-1;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;4;B1048;-80.577.366;285.618.571;1
70;d;05/12/2019;Falcon 9;5000.0;CRS-19;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CRS);True;5;B1059;-80.577.366;285.618.571;1
71;d;17/12/2019;Falcon 9;6800.0;JCSat 18 / Kacific 1;GTO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SKY Perfect JSAT Corporation,Kacific Broadband Satellites Pte Ltd;True;3;B1056;-80.577.366;285.618.571;1
72;e;07/01/2020;Falcon 9;15600.0;Starlink-2;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571;1
73;e;19/01/2020;Falcon 9;6.123.547.647.058.820;Crew Dragon In Flight Abort Test;SO;KSC LC 39A;None None;4;False;True;False;;5.0;NASA (CCtCap);True;3;B1046;-806.039.558;286.080.585;0
74;e;29/01/2020;Falcon 9;15600.0;Starlink-3;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-80.577.366;285.618.571;1
75;f;17/02/2020;Falcon 9;15600.0;Starlink-4;VLEO;CCSFS SLC 40;False ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;3;B1056;-80.577.366;285.618.571;0
76;m;07/03/2020;Falcon 9;1977.0;CRS-20;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;NASA (CRS);True;5;B1059;-80.577.366;285.618.571;1
77;m;18/03/2020;Falcon 9;15600.0;Starlink-5;VLEO;KSC LC 39A;False ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;4;B1048;-806.039.558;286.080.585;0
78;a;22/04/2020;Falcon 9;15600.0;Starlink-6;VLEO;KSC LC 39A;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585;1
79;m;30/05/2020;Falcon 9;9525.0;CCtCap Demo Mission 2;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;NASA (CCtCap);True;13;B1058;-806.039.558;286.080.585;1
80;j;04/06/2020;Falcon 9;15600.0;Starlink-7;VLEO;CCSFS SLC 40;True ASDS;5;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571;1
81;j;13/06/2020;Falcon 9;15600.0;Starlink-8;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;5;B1059;-80.577.366;285.618.571;1
82;j;30/06/2020;Falcon 9;3880.0;GPS III SV03 (Columbus);MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;USAF;True;12;B1060;-80.577.366;285.618.571;1
83;j;20/07/2020;Falcon 9;6.123.547.647.058.820;ANASIS-II;GEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;South Korea;True;13;B1058;-80.577.366;285.618.571;1
84;a;18/08/2020;Falcon 9;15600.0;Starlink-10;VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;9;B1049;-80.577.366;285.618.571;1
85;a;30/08/2020;Falcon 9;1600.0;SAOCOM 1B;SSO;CCSFS SLC 40;True RTLS;4;True;True;True;5e9e3032383ecb267a34e7c7;5.0;CONAE;True;5;B1059;-80.577.366;285.618.571;1
86;s;03/09/2020;Falcon 9;15600.0;Starlink-11;VLEO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1060;-806.039.558;286.080.585;1
87;o;06/10/2020;Falcon 9;15600.0;Starlink-12;VLEO;KSC LC 39A;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;13;B1058;-806.039.558;286.080.585;1
88;o;18/10/2020;Falcon 9;15600.0;Starlink-13;VLEO;KSC LC 39A;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;SpaceX;True;12;B1051;-806.039.558;286.080.585;1
89;o;24/10/2020;Falcon 9;15600.0;Starlink-14;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;SpaceX;True;12;B1060;-80.577.366;285.618.571;1
90;n;05/11/2020;Falcon 9;3681.0;GPS III SV04 (Sacagawea);MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;United States Space Force;True;8;B1062;-80.577.366;285.618.571;1
